"","date","state","city","candidate","Event.Type","year"
"381",2016-10-25,"FL","Miami","Trump","Speech at Doral Golf Course",2016
"382",2016-10-25,"FL","Sanford","Trump","Rally/Speech",2016
"383",2016-10-25,"FL","Tallahassee","Trump","Rally/Speech",2016
"384",2016-10-25,"OH","Swanton","Pence","Rally/Speech",2016
"385",2016-10-25,"OH","Ashland","Pence","Rally/Speech",2016
"386",2016-10-25,"OH","Marietta","Pence","Rally/Speech",2016
"387",2016-10-26,"FL","Lake Worth","Clinton","Rally/Speech",2016
"388",2016-10-26,"FL","Tampa","Clinton","Rally/Speech",2016
"389",2016-10-26,"PA","Newtown","Kaine","Rally/Speech",2016
"390",2016-10-26,"PA","Allentown","Kaine","Rally/Speech",2016
"391",2016-10-26,"DC","Washington DC","Trump","Speech at hotel opening",2016
"392",2016-10-26,"NC","Charlotte","Trump","Rally/Speech",2016
"393",2016-10-26,"NC","Kinston","Trump","Rally/Speech",2016
"394",2016-10-26,"NV","Reno","Pence","Rally/Speech",2016
"395",2016-10-26,"UT","Salt Lake City","Pence","Rally/Speech",2016
"396",2016-10-26,"CO","Colorado Springs","Pence","Rally/Speech",2016
"397",2016-10-27,"NC","Winston-Salem","Clinton","Rally/Speech",2016
"398",2016-10-27,"OH","Lorain","Kaine","Rally/Speech",2016
"399",2016-10-27,"OH","Gambier","Kaine","Rally/Speech",2016
"400",2016-10-27,"OH","Springfield","Trump","Rally/Speech",2016
"401",2016-10-27,"OH","Toledo","Trump","Rally/Speech",2016
"402",2016-10-27,"OH","Geneva","Trump","Rally/Speech",2016
"403",2016-10-27,"NE","Omaha","Pence","Rally/Speech",2016
"404",2016-10-27,"IA","Fort Dodge","Pence","Rally/Speech",2016
"405",2016-10-28,"IA","Cedar Rapids","Clinton","Rally/Speech",2016
"406",2016-10-28,"IA","Des Moines","Clinton","Rally/Speech",2016
"407",2016-10-28,"FL","Tallahassee","Kaine","Rally/Speech",2016
"408",2016-10-28,"NH","Manchester","Trump","Rally/Speech",2016
"409",2016-10-28,"ME","Lisbon","Trump","Rally/Speech",2016
"410",2016-10-28,"IA","Cedar Rapids","Trump","Rally/Speech",2016
"411",2016-10-28,"PA","Bensalem","Pence","Rally/Speech",2016
"412",2016-10-28,"NC","Smithfield","Pence","Speech at The Conservative Rally",2016
"413",2016-10-29,"FL","Daytona Beach","Clinton","Rally/Speech",2016
"414",2016-10-29,"FL","Miami","Clinton","Get Out the Vote Concert",2016
"415",2016-10-29,"CO","Golden","Trump","Rally/Speech",2016
"416",2016-10-29,"AZ","Phoenix","Trump","Rally/Speech",2016
"417",2016-10-29,"NC","Jacksonville","Pence","Rally/Speech",2016
"418",2016-10-30,"FL","Fort Lauderdale","Clinton","Speech to Mount Olive Baptist Church",2016
"419",2016-10-30,"FL","Wilton Manors","Clinton","Rally/Speech",2016
"420",2016-10-30,"MI","Taylor","Kaine","Rally/Speech",2016
"421",2016-10-30,"MI","Warren","Kaine","Speech to MI Regional Council of Carpenters and Millwrights",2016
"422",2016-10-30,"NV","Las Vegas","Trump","Rally/Speech",2016
"423",2016-10-30,"CO","Greeley","Trump","Rally/Speech",2016
"424",2016-10-30,"NM","Albuquerque","Trump","Rally/Speech",2016
"425",2016-10-30,"NH","Rochester","Pence","Rally/Speech",2016
"426",2016-10-30,"IN","Jeffersonville","Pence","Rally/Speech",2016
"427",2016-10-31,"OH","Kent","Clinton","Rally/Speech",2016
"428",2016-10-31,"OH","Cincinnati","Clinton","Rally/Speech",2016
"429",2016-10-31,"NC","Jacksonville","Kaine","Rally/Speech",2016
"430",2016-10-31,"NC","Sanford","Kaine","Rally/Speech",2016
"431",2016-10-31,"MI","Grand Rapids","Trump","Rally/Speech",2016
"432",2016-10-31,"MI","Warren","Trump","Rally/Speech",2016
"433",2016-10-31,"FL","Cocoa","Pence","Rally/Speech",2016
"434",2016-10-31,"FL","Maitland","Pence","Rally/Speech",2016
"435",2016-10-31,"FL","Clearwater","Pence","Rally/Speech",2016
"436",2016-11-01,"FL","Dade City","Clinton","Rally/Speech",2016
"437",2016-11-01,"FL","Sanford","Clinton","Rally/Speech",2016
"438",2016-11-01,"FL","Fort Lauderdale","Clinton","Rally/Speech",2016
"439",2016-11-01,"WI","Appleton","Kaine","Rally/Speech",2016
"440",2016-11-01,"WI","Madison","Kaine","Rally/Speech",2016
"441",2016-11-01,"PA","Valley Forge","Trump / Pence","Speeches",2016
"442",2016-11-01,"WI","Eau Claire","Trump","Rally/Speech",2016
"443",2016-11-01,"PA","Youngwood","Pence","Rally/Speech",2016
"444",2016-11-02,"NV","Las Vegas","Clinton","Rally/Speech",2016
"445",2016-11-02,"AZ","Tempe","Clinton","Rally/Speech",2016
"446",2016-11-02,"IA","Dubuque","Kaine","Rally/Speech",2016
"447",2016-11-02,"FL","Miami","Trump","Rally/Speech",2016
"448",2016-11-02,"FL","Orlando","Trump","Rally/Speech",2016
"449",2016-11-02,"FL","Pensacola","Trump","Rally/Speech",2016
"450",2016-11-02,"AZ","Mesa","Pence","Rally/Speech",2016
"451",2016-11-02,"NM","Las Cruces","Pence","Rally/Speech",2016
"452",2016-11-02,"CO","Loveland","Pence","Rally/Speech",2016
"453",2016-11-03,"NC","Winterville","Clinton","Rally/Speech",2016
"454",2016-11-03,"NC","Raleigh","Clinton","Rally/Speech",2016
"455",2016-11-03,"AZ","Phoenix","Kaine","Rally/Speech",2016
"456",2016-11-03,"AZ","Tuscon","Kaine","Rally/Speech",2016
"457",2016-11-03,"FL","Jacksonville","Trump","Rally/Speech",2016
"458",2016-11-03,"NC","Concord","Trump","Rally/Speech",2016
"459",2016-11-03,"NC","Selma","Trump","Rally/Speech",2016
"460",2016-11-03,"IA","Prole","Pence","Rally/Speech",2016
"461",2016-11-03,"MI","Portage","Pence","Rally/Speech",2016
"462",2016-11-03,"PA","Moon Township","Pence","Rally/Speech",2016
"463",2016-11-04,"PA","Pittsburgh","Clinton","Rally/Speech",2016
"464",2016-11-04,"MI","Detroit","Clinton","Rally/Speech",2016
"465",2016-11-04,"OH","Cleveland","Clinton","Rally/Speech",2016
"466",2016-11-04,"FL","Melbourne","Kaine","Rally/Speech",2016
"467",2016-11-04,"NH","Atkinson","Trump","Rally/Speech",2016
"468",2016-11-04,"OH","Wilmington","Trump","Rally/Speech",2016
"469",2016-11-04,"PA","Hershey","Trump","Rally/Speech",2016
"470",2016-11-04,"MI","Lansing","Pence","Rally/Speech",2016
"471",2016-11-04,"NC","Greenville","Pence","Rally/Speech",2016
"472",2016-11-04,"FL","Miami","Pence","Rally/Speech",2016
"473",2016-11-05,"FL","Pembroke Pines","Clinton","Rally/Speech",2016
"474",2016-11-05,"PA","Philadelphia","Clinton","Get Out the Vote Concert",2016
"475",2016-11-05,"FL","Fort Myers","Kaine","Rally/Speech",2016
"476",2016-11-05,"FL","St. Petersburg","Kaine","Get Out the Vote Concert",2016
"477",2016-11-05,"FL","Tampa","Trump","Rally/Speech",2016
"478",2016-11-05,"NC","Wilmington","Trump","Rally/Speech",2016
"479",2016-11-05,"NV","Reno","Trump","Rally/Speech",2016
"480",2016-11-05,"CO","Denver","Trump","Rally/Speech",2016
"481",2016-11-05,"MI","Holland","Pence","Rally/Speech",2016
"482",2016-11-05,"WI","Mukwonago","Pence","Rally/Speech",2016
"483",2016-11-05,"VA","Fairfax","Pence","Rally/Speech",2016
"484",2016-11-06,"PA","Philadelphia","Clinton","Speech to Mt. Airy Church of God",2016
"485",2016-11-06,"OH","Cleveland","Clinton","Rally/Speech",2016
"486",2016-11-06,"NH","Manchester","Clinton","Rally/Speech",2016
"487",2016-11-06,"WI","Milwaukee","Kaine","Speech to Campaign Workers",2016
"488",2016-11-06,"WI","Green Bay","Kaine","Rally/Speech",2016
"489",2016-11-06,"WI","La Crosse","Kaine","Packers Watch Party/Speech",2016
"490",2016-11-06,"IA","Sioux City","Trump","Rally/Speech",2016
"491",2016-11-06,"MN","Minneapolis","Trump","Rally/Speech",2016
"492",2016-11-06,"MI","Sterling Heights","Trump","Rally/Speech",2016
"493",2016-11-06,"PA","Moon Township","Trump","Rally/Speech",2016
"494",2016-11-06,"VA","Leesburg","Trump","Rally/Speech",2016
"495",2016-11-06,"FL","Panama City Beach","Pence","Rally/Speech",2016
"496",2016-11-06,"NC","Hickory","Pence","Rally/Speech",2016
"497",2016-11-06,"NH","Windham","Pence","Rally/Speech",2016
"498",2016-11-07,"PA","Oakland","Clinton","Rally/Speech",2016
"499",2016-11-07,"MI","Allendale","Clinton","Rally/Speech",2016
"500",2016-11-07,"PA","Philadelphia","Clinton","Rally/Speech",2016
"501",2016-11-07,"NC","Raleigh","Clinton","Rally/Speech",2016
"502",2016-11-07,"NC","Charlotte","Kaine","Rally/Speech",2016
"503",2016-11-07,"NC","Wilmington","Kaine","Rally/Speech",2016
"504",2016-11-07,"VA","Fairfax","Kaine","Rally/Speech",2016
"505",2016-11-07,"VA","Richmond","Kaine","Rally/Speech",2016
"506",2016-11-07,"FL","Sarasota","Trump","Rally/Speech",2016
"507",2016-11-07,"NC","Raleigh","Trump","Rally/Speech",2016
"508",2016-11-07,"PA","Scranton","Trump","Rally/Speech",2016
"509",2016-11-07,"MN","Duluth","Pence","Rally/Speech",2016
"510",2016-11-07,"MI","Traverse City","Pence","Rally/Speech",2016
"511",2016-11-07,"PA","Erie","Pence","Rally/Speech",2016
"512",2016-11-07,"NH","Manchester","Trump / Pence","Rally/Speech",2016
"513",2016-11-07,"MI","Grand Rapids","Trump / Pence","Rally/Speech",2016
"514",2020-08-28,"NH","Londonderry","Trump","Rally/Speech",2020
"515",2020-08-28,"MN","Duluth","Pence","Rally/Speech",2020
"516",2020-08-28,"MI","Traverse City","Pence","Rally/Speech",2020
"517",2020-08-31,"PA","Pittsburgh ","Biden","Speech",2020
"518",2020-09-01,"WI","Kenosha","Trump","Speech",2020
"519",2020-09-01,"PA","Exeter","Pence","Rally/Speech",2020
"520",2020-09-02,"MN","","Harris","Roundtable",2020
"521",2020-09-03,"WI","Kenosha","Biden","Speech",2020
"522",2020-09-03,"PA","Latrobe","Trump","Rally/Speech",2020
"523",2020-09-03,"NC","Raleigh","Pence","Speech",2020
"524",2020-09-04,"NC","","Trump","Speech",2020
"525",2020-09-07,"WI","Milwaukee","Harris","Speech",2020
"526",2020-09-07,"WI","Milwaukee","Harris","Roundtable",2020
"527",2020-09-07,"PA","Harrisburg","Biden","Speech",2020
"528",2020-09-07,"PA","","Biden","Roundtable",2020
"529",2020-09-07,"WI","La Crosse","Pence","Rally/Speech",2020
"530",2020-09-08,"NC","Winston-Salem","Trump","Rally/Speech",2020
"531",2020-09-08,"FL","Jupiter","Trump","Speech",2020
"532",2020-09-09,"MI","Warren","Biden","Speech",2020
"533",2020-09-09,"PA","Freedom","Pence","Rally/Speech",2020
"534",2020-09-09,"PA","Export","Pence","Roundtable",2020
"535",2020-09-10,"FL","Miami","Harris","Roundtable",2020
"536",2020-09-10,"MI","Freeland","Trump","Rally/Speech",2020
"537",2020-09-12,"NV","Minden","Trump","Rally/Speech",2020
"538",2020-09-13,"NV","Las Vegas","Trump","Roundtable",2020
"539",2020-09-13,"NV","Las Vegas","Trump","Rally/Speech",2020
"540",2020-09-14,"AZ","Phoenix","Trump","Roundtable",2020
"541",2020-09-14,"WI","Janesville","Pence","Rally/Speech",2020
"542",2020-09-14,"MT","Belgrade","Pence","Rally *** see note",2020
"543",2020-09-15,"FL","Tampa","Biden","Roundtable",2020
"544",2020-09-15,"FL","Kissimmee","Biden","Speech",2020
"545",2020-09-15,"NV","Las Vegas","Harris","Roundtable",2020
"546",2020-09-16,"OH","Zanesville","Pence","Rally/Speech",2020
"547",2020-09-17,"PA","Scranton","Biden","Town Hall",2020
"548",2020-09-17,"PA","Philadelphia","Harris","Roundtable",2020
"549",2020-09-17,"WI","Mosinee","Trump","Rally/Speech",2020
"550",2020-09-18,"MN","Duluth","Biden","Speech",2020
"551",2020-09-18,"NC","","Harris","Speech",2020
"552",2020-09-18,"MN","Bemidji","Trump","Rally/Speech",2020
"553",2020-09-18,"AZ","Litchfield Park","Pence","Rally/Speech",2020
"554",2020-09-18,"AZ","Phoenix","Pence","Roundtable",2020
"555",2020-09-19,"NC","Fayetteville","Trump","Rally/Speech",2020
"556",2020-09-21,"WI","Manitowoc","Biden","Speech",2020
"557",2020-09-21,"OH","Swanton","Trump","Rally/Speech",2020
"558",2020-09-21,"OH","Vandalia","Trump","Speech",2020
"559",2020-09-22,"MI","Detroit","Harris","Roundtable",2020
"560",2020-09-22,"MI","Detroit","Harris","Speech",2020
"561",2020-09-22,"PA","Moon Township","Trump","Rally/Speech",2020
"562",2020-09-22,"NH","Gilford","Pence","Rally/Speech",2020
"563",2020-09-23,"NC","Raleigh","Biden","Speech",2020
"564",2020-09-24,"WI","Eau Claire","Pence","Rally/Speech",2020
"565",2020-09-24,"MN","Minneapolis","Pence","Roundtable",2020
"566",2020-09-24,"FL","Jacksonville","Trump","Rally/Speech",2020
"567",2020-09-24,"NC","Charlotte","Trump","Speech",2020
"568",2020-09-25,"VA","* Newport News ","Trump","Rally/Speech",2020
"569",2020-09-25,"GA","Atlanta","Trump","Speech",2020
"570",2020-09-25,"FL","Doral","Trump","Roundtable",2020
"571",2020-09-26,"PA","Middletown","Trump","Rally/Speech",2020
"572",2020-09-28,"NC","","Harris","Speech",2020
"573",2020-09-28,"NC","Raleigh","Harris","Roundtable",2020
"574",2020-09-29,"PA","Lititz","Pence","Rally/Speech",2020
"575",2020-09-30,"OH","Cleveland","Biden","Speech",2020
"576",2020-09-30,"OH","Alliance","Biden","Speech",2020
"577",2020-09-30,"PA","Pittsburgh ","Biden","Speech",2020
"578",2020-09-30,"PA","Greensburg","Biden","Speech",2020
"579",2020-09-30,"PA","New Alexandria","Biden","Speech",2020
"580",2020-09-30,"PA","Johnstown","Biden","Speech",2020
"581",2020-09-30,"MN","Duluth","Trump","Rally/Speech",2020
"582",2020-10-01,"IA","Council Bluffs","Pence","Rally/Speech",2020
"583",2020-10-02,"MI","Grand Rapids","Biden","Speech",2020
"584",2020-10-02,"NV","Las Vegas","Harris","Speech",2020
"585",2020-10-05,"FL","Miami","Biden","Town Hall",2020
"586",2020-10-05,"FL","Miami","Biden","Speech",2020
"587",2020-10-06,"PA","Gettysburg","Biden","Speech",2020
"588",2020-10-08,"AZ","Phoenix","Biden/Harris","Speech",2020
"589",2020-10-08,"NV","Boulder City","Pence","Rally/Speech",2020
"590",2020-10-08,"AZ","Peoria","Pence","Rally/Speech",2020
"591",2020-10-09,"NV","Las Vegas","Biden","Speech",2020
"592",2020-10-10,"PA","Erie","Biden","Speech",2020
"593",2020-10-10,"FL","Orlando","Pence","Rally/Speech",2020
"594",2020-10-10,"FL","The Villages","Pence","Rally/Speech",2020
"595",2020-10-10,"NA ","Washington DC","Trump","Speech ** see note",2020
"596",2020-10-12,"OH","Toledo","Biden","Speech",2020
"597",2020-10-12,"OH","Cincinnati","Biden","Speech",2020
"598",2020-10-12,"FL","Sanford","Trump","Rally/Speech",2020
"599",2020-10-12,"OH","Columbus","Pence","Rally/Speech",2020
"600",2020-10-13,"FL","Pembroke Pines","Biden","Speech",2020
"601",2020-10-13,"FL","Miramar","Biden","Speech",2020
"602",2020-10-13,"WI","Waukesha","Pence","Rally/Speech",2020
"603",2020-10-13,"PA","Johnstown","Trump","Rally/Speech",2020
"604",2020-10-14,"IA","Des Moines","Trump","Rally/Speech",2020
"605",2020-10-14,"MI","Grand Rapids","Pence","Rally/Speech",2020
"606",2020-10-15,"PA","Philadelphia","Biden","Town Hall",2020
"607",2020-10-15,"NC","","Harris","Speech",2020
"608",2020-10-15,"NC","Greenville","Trump","Rally/Speech",2020
"609",2020-10-15,"FL","Miami","Trump","Town Hall",2020
"610",2020-10-15,"FL","Miami","Pence","Rally/Speech",2020
"611",2020-10-15,"FL","Miami","Pence","Speech",2020
"612",2020-10-16,"MI","Southfield","Biden","Speech",2020
"613",2020-10-16,"MI","Detroit","Biden","Speech",2020
"614",2020-10-16,"FL","Ocala","Trump","Rally/Speech",2020
"615",2020-10-16,"FL","Fort Myers","Trump","Speech",2020
"616",2020-10-16,"GA","Macon","Trump","Rally/Speech",2020
"617",2020-10-16,"NC","Selma","Pence","Rally/Speech",2020
"618",2020-10-17,"NC","Durham","Biden","Speech",2020
"619",2020-10-17,"PA","Reading","Pence","Rally/Speech",2020
"620",2020-10-17,"MI","Muskegon","Trump","Speech",2020
"621",2020-10-17,"WI","Janesville","Trump","Rally/Speech",2020
"622",2020-10-18,"NV","Carson City","Trump","Rally/Speech",2020
"623",2020-10-19,"FL","Orlando","Harris","Speech/Rally",2020
"624",2020-10-19,"FL","Jacksonville","Harris","Speech",2020
"625",2020-10-19,"AZ","Prescott","Trump","Rally/Speech",2020
"626",2020-10-19,"AZ","Tucson","Trump","Rally/Speech",2020
"627",2020-10-19,"ME","Hermon","Pence","Rally/Speech",2020
"628",2020-10-19,"PA","New Cumberland","Pence","Rally/Speech",2020
"629",2020-10-20,"WI","Milwaukee","Harris","Speech",2020
"630",2020-10-20,"PA","Erie","Trump","Rally/Speech",2020
"631",2020-10-21,"NC","Ashville","Harris","Speech",2020
"632",2020-10-21,"NC","Charlotte","Harris","Speech",2020
"633",2020-10-21,"NC","Gastonia","Trump","Rally/Speech",2020
"634",2020-10-21,"NH","Portsmouth","Pence","Rally/Speech",2020
"635",2020-10-21,"OH","Cincinatti","Pence","Rally/Speech",2020
"636",2020-10-22,"MI","Waterford Township","Pence","Rally/Speech",2020
"637",2020-10-22,"IN","Fort Wayne","Pence","Rally/Speech **** see note",2020
"638",2020-10-23,"GA","Atlanta","Harris","Speech",2020
"639",2020-10-23,"FL","The Villages","Trump","Rally/Speech",2020
"640",2020-10-23,"FL","Pensacola","Trump","Rally/Speech",2020
"641",2020-10-23,"OH","Swanton","Pence","Rally/Speech",2020
"642",2020-10-23,"PA","West Mifflin","Pence","Rally/Speech",2020
"643",2020-10-24,"OH","Cleveland","Harris","Speech",2020
"644",2020-10-24,"PA","Bucks County","Biden","Speech/Rally",2020
"645",2020-10-24,"PA","Dallas","Biden","Speech/Rally",2020
"646",2020-10-24,"FL","Lakeland","Pence","Rally/Speech",2020
"647",2020-10-24,"FL","Tallahassee","Pence","Rally/Speech",2020
"648",2020-10-24,"NC","Lumberton","Trump","Rally/Speech",2020
"649",2020-10-24,"OH","Circleville","Trump","Rally/Speech",2020
"650",2020-10-24,"WI","Waukesha","Trump","Rally/Speech",2020
"651",2020-10-25,"MI","Detroit","Harris","Speech",2020
"652",2020-10-25,"NH","Londonderry","Trump","Rally/Speech",2020
"653",2020-10-25,"NC","Kinston","Pence","Rally/Speech",2020
"654",2020-10-25,"ME","Levant","Trump","Speech",2020
"655",2020-10-26,"PA","Chester","Biden","Speech",2020
"656",2020-10-26,"PA","Lititz","Trump","Rally/Speech",2020
"657",2020-10-26,"MN","Hibbing","Pence","Rally/Speech",2020
"658",2020-10-27,"GA","Warm Springs","Biden","Speech",2020
"659",2020-10-27,"GA","Atlanta","Biden","Speech/Rally",2020
"660",2020-10-27,"NV","Reno","Harris","Speech",2020
"661",2020-10-27,"NV","Las Vegas","Harris","Speech",2020
"662",2020-10-27,"MI","Lansing","Trump","Rally/Speech",2020
"663",2020-10-27,"WI","West Salem","Trump","Rally/Speech",2020
"664",2020-10-27,"NE","Omaha","Trump","Rally/Speech",2020
"665",2020-10-28,"AZ","Tucson","Harris","Speech",2020
"666",2020-10-28,"AZ","Phoenix","Harris","Speech",2020
"667",2020-10-28,"AZ","Bullhead City","Trump","Rally/Speech",2020
"668",2020-10-28,"AZ","Phoenix","Trump","Rally/Speech",2020
"669",2020-10-28,"WI","Mosinee","Pence","Rally/Speech",2020
"670",2020-10-28,"MI","Flint","Pence","Rally/Speech",2020
"671",2020-10-29,"FL","Coconut Creek","Biden","Speech/Rally",2020
"672",2020-10-29,"FL","Tampa","Biden","Speech",2020
"673",2020-10-29,"IA","Des Moines","Pence","Rally/Speech",2020
"674",2020-10-29,"NV","Reno","Pence","Rally/Speech",2020
"675",2020-10-29,"NC","Fayetteville","Trump","Rally/Speech",2020
"676",2020-10-29,"FL","Tampa","Trump","Rally/Speech",2020
"677",2020-10-30,"WI","Milwaukee","Biden","Speech",2020
"678",2020-10-30,"IA","Des Moines","Biden","Speech",2020
"679",2020-10-30,"MN","St Paul","Biden","Speech",2020
"680",2020-10-30,"TX","Forth Worth ","Harris","Speech",2020
"681",2020-10-30,"TX","McAllen","Harris","Speech",2020
"682",2020-10-30,"TX","Houston","Harris","Speech",2020
"683",2020-10-30,"MI","Waterford Township","Trump","Rally/Speech",2020
"684",2020-10-30,"WI","Green Bay","Trump","Rally/Speech",2020
"685",2020-10-30,"MN","Rochester","Trump","Speech",2020
"686",2020-10-30,"AZ","Flagstaff","Pence","Rally/Speech",2020
"687",2020-10-30,"AZ","Tucson","Pence","Rally/Speech",2020
"688",2020-10-31,"MI","Flint","Biden","Speech/Rally",2020
"689",2020-10-31,"MI","Detroit","Biden","Speech/Rally",2020
"690",2020-10-31,"FL","Miami","Harris","Speech/Rally",2020
"691",2020-10-31,"FL","Fort Lauderdale","Harris","Speech",2020
"692",2020-10-31,"FL","Lake Worth","Harris","Speech",2020
"693",2020-10-31,"PA","Bucks County","Trump","Rally/Speech",2020
"694",2020-10-31,"PA","Reading","Trump","Rally/Speech",2020
"695",2020-10-31,"PA","Butler","Trump","Rally/Speech",2020
"696",2020-10-31,"PA","Montoursville","Trump","Rally/Speech",2020
"697",2020-10-31,"NC","Elm City","Pence","Rally/Speech",2020
"698",2020-10-31,"NC","Elizabeth City","Pence","Rally/Speech",2020
"699",2020-11-01,"PA","Philadelphia","Biden","Roundtable",2020
"700",2020-11-01,"PA","Philadelphia","Biden","Speech",2020
"701",2020-11-01,"GA","Duluth","Harris","Speech",2020
"702",2020-11-01,"NC","Goldsboro","Harris","Speech",2020
"703",2020-11-01,"NC","Fayetteville","Harris","Speech",2020
"704",2020-11-01,"MI","Washington","Trump","Rally/Speech",2020
"705",2020-11-01,"IA","Dubuque","Trump","Rally/Speech",2020
"706",2020-11-01,"NC","Hickory","Trump","Rally/Speech",2020
"707",2020-11-01,"GA","Rome","Trump","Rally/Speech",2020
"708",2020-11-01,"FL","Opa-locka","Trump","Rally/Speech",2020
"709",2020-11-02,"PA","Beaver County","Biden","Speech",2020
"710",2020-11-02,"PA","Pittsburgh ","Biden","Speech/Rally",2020
"711",2020-11-02,"PA","Pittsburgh ","Biden","Roundtable",2020
"712",2020-11-02,"PA","Pittston","Harris","Speech",2020
"713",2020-11-02,"PA","Lower Nazareth Township","Harris","Speech",2020
"714",2020-11-02,"PA","Philadelphia","Harris","Speech/Rally",2020
"715",2020-11-02,"OH","Cleveland","Biden","Speech",2020
"716",2020-11-02,"NC","Fayetteville","Trump","Rally/Speech",2020
"717",2020-11-02,"PA","Avoca","Trump","Rally/Speech",2020
"718",2020-11-02,"MI","Traverse City","Trump/Pence","Rally/Speech",2020
"719",2020-11-02,"WI","Kenosha","Trump","Rally/Speech",2020
"720",2020-11-02,"MI","Grand Rapids","Trump/Pence","Rally/Speech",2020
"721",2020-11-02,"PA","Latrobe","Pence","Rally/Speech",2020
"722",2020-11-02,"PA","Erie","Pence","Rally/Speech",2020
"723",2020-11-03,"PA","Philadelphia","Biden","Speech",2020
"724",2020-11-03,"PA","Scranton","Biden","Speech",2020
"725",2020-11-03,"MI","Detroit","Harris","Speech",2020
"726",2024-07-23,"WI","West Allis","Harris","Rally",2024
"727",2024-07-24,"NC","Charlotte","Trump","Rally",2024
"728",2024-07-24,"TX","Houston","Harris","Speech",2024
"729",2024-07-25,"IN","Indianapolis","Harris","Speech to Zeta Phi Beta sorority",2024
"730",2024-07-27,"TN","Nashville","Trump","Speech & Rally",2024
"731",2024-07-27,"MN","St. Cloud","Trump","Speech & Rally",2024
"732",2024-07-30,"GA","Atlanta","Harris","Rally",2024
"733",2024-07-31,"PA","Harrisburg, Philadelphia","Trump","Rally",2024
"734",2024-08-03,"GA","Atlanta","Harris","Rally",2024
"735",2024-08-06,"PA","Philadelphia","Harris","Rally",2024
"736",2024-08-06,"PA","Philadelphia","Walz","Rally",2024
"737",2024-08-06,"PA","Philadelphia","Vance","Campaign Visit",2024
"738",2024-08-07,"MI","Romulus","Harris","Rally",2024
"739",2024-08-07,"WI","Eau Claire","Vance","Speech & Campaign Visit",2024
"740",2024-08-07,"MI","Shelby Township","Vance","Speech & Campaign Visit",2024
"741",2024-08-07,"WI","Eau Claire","Harris","Rally",2024
"742",2024-08-07,"WI","Eau Claire","Walz","Rally",2024
"743",2024-08-07,"MI","Romulus","Walz","Rally",2024
"744",2024-08-08,"MI","Wayne","Harris","Campaign Event",2024
"745",2024-08-08,"MI","Wayne","Walz","Campaign Event",2024
"746",2024-08-09,"AZ","Glendale","Harris","Rally",2024
"747",2024-08-09,"MT","Bozeman","Trump","Rally",2024
"748",2024-08-09,"AZ","Glendale","Walz","Rally",2024
"749",2024-08-10,"TX","San Antonio, Houston","Vance","Campaign Visit",2024
"750",2024-08-10,"NV","Las Vegas","Walz","Rally",2024
"751",2024-08-10,"NV","Las Vegas","Harris","Rally",2024
"752",2024-08-12,"DC","Howard University","Harris","Campaign Visit",2024
"753",2024-08-13,"CA","Los Angeles","Walz","Speech",2024
"754",2024-08-13,"AZ","Glendale","Vance","Campaign Visit",2024
"755",2024-08-14,"NC","Asheville","Harris","Rally",2024
"756",2024-08-14,"MI","Byron Center","Walz","Campaign Visit",2024
"757",2024-08-15,"PA","Lower Burrell","Vance","Campaign Visit",2024
"758",2024-08-15,"RI","Newport","Walz","Campaign Visit",2024
"759",2024-08-15,"MD","Largo","Harris","Speech",2024
"760",2024-08-16,"NC","Raleigh","Harris","Speech",2024
"761",2024-08-16,"WI","Milwaukee","Vance","Campaign Visit",2024
"762",2024-08-17,"PA","Wilkes Barre","Harris","Rally",2024
"763",2024-08-17,"NE","La Vista","Walz","Rally",2024
"764",2024-08-18,"PA","Pittsburgh, Rochester","Harris","Bus Tour",2024
"765",2024-08-18,"PA","Pittsburgh, Rochester","Walz","Bus Tour",2024
"766",2024-08-19,"PA","York","Harris","Democratic National Convention & Speech",2024
"767",2024-08-19,"PA","Philadelphia","Walz","Democratic National Convention",2024
"768",2024-08-20,"WI","Kenosha","Vance","Speech",2024
"769",2024-08-20,"MI","Howell","Trump","Campaign Visit",2024
"770",2024-08-20,"WI","Milwaukee","Walz","Democratic National Convention & Rally",2024
"771",2024-08-20,"WI","Milwaukee","Harris","Democratic National Convention & Rally",2024
"772",2024-08-21,"NC","Asheboro","Vance","Rally",2024
"773",2024-08-21,"NC","Asheboro","Walz","Democratic National Convention & Speech",2024
"774",2024-08-21,"NC","Asheboro","Trump","Rally",2024
"775",2024-08-21,"NC","Asheboro","Harris","Democratic National Convention",2024
"776",2024-08-22,"AZ","Cochise County","Trump","Campaign Visit",2024
"777",2024-08-22,"MI","Democratic National Convention","Harris","Convention & Speech",2024
"778",2024-08-22,"GA","Valdosta","Walz","Democratic National Convention & Campaign Visit",2024
"779",2024-08-23,"AZ","Glendale","Harris","Rally",2024
"780",2024-08-24,"NV","Las Vegas","Harris","Campaign Visit",2024
"781",2024-08-26,"MI","Arlington, Detroit","Harris","Campaign Visit & Speech",2024
"782",2024-08-27,"MI","Big Rapids","Vance","Campaign Visit",2024
"783",2024-08-28,"PA","Erie","Vance","Campaign Visit",2024
"784",2024-08-28,"WI","De Pere","Vance","Campaign Visit",2024
"785",2024-08-28,"GA","Hinesville","Walz","Bus Tour",2024
"786",2024-08-28,"GA","Hinesville","Harris","Bus Tour",2024
"787",2024-08-29,"NC","Raleigh","Walz","Bus Tour & Campaign Visit",2024
